id,method,lon,lat,depth,target_depth,poc_flux_obs,ccsm_whoi,cesm_ethz,ecco_darwin,fesom_recom_lr,mpiom_hammoc,mri_esm2_0,nor_esm_oc1.2,nowicki_2022,simple_trim,wang_2023
4477,sediment trap,-64.4,10.3,810,1000,4,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4478,sediment trap,-64.4,10.3,810,1000,8,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4479,sediment trap,-64.4,10.3,810,1000,9,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4480,sediment trap,-64.4,10.3,810,1000,17,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4481,sediment trap,-64.4,10.3,810,1000,11,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4482,sediment trap,-64.4,10.3,810,1000,13,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4483,sediment trap,-64.4,10.3,810,1000,10,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4484,sediment trap,-64.4,10.3,810,1000,56,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4485,sediment trap,-64.4,10.3,810,1000,89,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4486,sediment trap,-64.4,10.3,810,1000,70,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4487,sediment trap,-64.4,10.3,810,1000,26,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4488,sediment trap,-64.4,10.3,810,1000,70,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4489,sediment trap,-64.4,10.3,810,1000,18,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4490,sediment trap,-64.4,10.3,810,1000,114,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4491,sediment trap,-64.4,10.3,810,1000,66,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4492,sediment trap,-64.4,10.3,810,1000,33,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4493,sediment trap,-64.4,10.3,810,1000,27,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4494,sediment trap,-64.4,10.3,810,1000,114,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4495,sediment trap,-64.4,10.3,810,1000,91,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4496,sediment trap,-64.4,10.3,810,1000,14,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4497,sediment trap,-64.4,10.3,810,1000,5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4498,sediment trap,-64.4,10.3,810,1000,10,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4499,sediment trap,-64.4,10.3,810,1000,3,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4500,sediment trap,-64.4,10.3,810,1000,6,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4501,sediment trap,-64.4,10.3,810,1000,5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4502,sediment trap,-64.4,10.3,810,1000,8,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4503,sediment trap,-64.4,10.3,810,1000,9,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4504,sediment trap,-64.4,10.3,810,1000,9,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4505,sediment trap,-64.67,10.5,810,1000,52.9,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4506,sediment trap,-64.67,10.5,810,1000,26.4,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4507,sediment trap,-64.67,10.5,810,1000,62.8,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4508,sediment trap,-64.67,10.5,810,1000,25.9,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4509,sediment trap,-64.67,10.5,810,1000,23.5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4510,sediment trap,-64.67,10.5,810,1000,14.4,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4511,sediment trap,-64.67,10.5,810,1000,37.7,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4512,sediment trap,-64.67,10.5,810,1000,126.2,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4513,sediment trap,-64.67,10.5,810,1000,7,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
