id,method,lon,lat,depth,target_depth,poc_flux_obs,ccsm_whoi,cesm_ethz,cnrm_esm2,dunne_2007,ec_earth3,ecco_darwin,fesom_recom_lr,henson_2012,laws_2000,laws_2011,laws_20xx,mom6_prenceton,mpiom_hammoc,mri_esm2_0,nor_esm_oc1.2,nowicki_2022,orca1_lim3_pisces,planktom12,schlitzer_2000,siegel_2014,simple_trim,wang_2023
22623,sediment trap,4.3342,79.0072,80,100,16.70656,28.424500136459482,18.39182534020538,12.556396052522732,100.94861602783203,5.011113756719772,26.392461961156428,33.85492910214554,43.28730010986328,140.33755493164062,13.711515426635742,179.36358642578125,7.496932429988324,47.97456407737119,8.283425159140572,21.152637145678536,51.08216658909251,28.086811763874806,27.195401854055444,NA,NA,50.745528097353834,75.08978864007955
22624,sediment trap,4.3342,79.0072,80,100,8.02202,28.424500136459482,18.39182534020538,12.556396052522732,100.94861602783203,5.011113756719772,26.392461961156428,33.85492910214554,43.28730010986328,140.33755493164062,13.711515426635742,179.36358642578125,7.496932429988324,47.97456407737119,8.283425159140572,21.152637145678536,51.08216658909251,28.086811763874806,27.195401854055444,NA,NA,50.745528097353834,75.08978864007955
22625,sediment trap,4.3342,79.0072,80,100,1.55917,28.424500136459482,18.39182534020538,12.556396052522732,100.94861602783203,5.011113756719772,26.392461961156428,33.85492910214554,43.28730010986328,140.33755493164062,13.711515426635742,179.36358642578125,7.496932429988324,47.97456407737119,8.283425159140572,21.152637145678536,51.08216658909251,28.086811763874806,27.195401854055444,NA,NA,50.745528097353834,75.08978864007955
22626,sediment trap,4.3342,79.0072,80,100,0.64678,28.424500136459482,18.39182534020538,12.556396052522732,100.94861602783203,5.011113756719772,26.392461961156428,33.85492910214554,43.28730010986328,140.33755493164062,13.711515426635742,179.36358642578125,7.496932429988324,47.97456407737119,8.283425159140572,21.152637145678536,51.08216658909251,28.086811763874806,27.195401854055444,NA,NA,50.745528097353834,75.08978864007955
22627,sediment trap,4.3342,79.0072,80,100,1.12422,28.424500136459482,18.39182534020538,12.556396052522732,100.94861602783203,5.011113756719772,26.392461961156428,33.85492910214554,43.28730010986328,140.33755493164062,13.711515426635742,179.36358642578125,7.496932429988324,47.97456407737119,8.283425159140572,21.152637145678536,51.08216658909251,28.086811763874806,27.195401854055444,NA,NA,50.745528097353834,75.08978864007955
22628,sediment trap,4.3342,79.0072,80,100,2.2363,28.424500136459482,18.39182534020538,12.556396052522732,100.94861602783203,5.011113756719772,26.392461961156428,33.85492910214554,43.28730010986328,140.33755493164062,13.711515426635742,179.36358642578125,7.496932429988324,47.97456407737119,8.283425159140572,21.152637145678536,51.08216658909251,28.086811763874806,27.195401854055444,NA,NA,50.745528097353834,75.08978864007955
22629,sediment trap,4.3342,79.0072,80,100,2.45638,28.424500136459482,18.39182534020538,12.556396052522732,100.94861602783203,5.011113756719772,26.392461961156428,33.85492910214554,43.28730010986328,140.33755493164062,13.711515426635742,179.36358642578125,7.496932429988324,47.97456407737119,8.283425159140572,21.152637145678536,51.08216658909251,28.086811763874806,27.195401854055444,NA,NA,50.745528097353834,75.08978864007955
22630,sediment trap,4.3342,79.0072,80,100,4.09011,28.424500136459482,18.39182534020538,12.556396052522732,100.94861602783203,5.011113756719772,26.392461961156428,33.85492910214554,43.28730010986328,140.33755493164062,13.711515426635742,179.36358642578125,7.496932429988324,47.97456407737119,8.283425159140572,21.152637145678536,51.08216658909251,28.086811763874806,27.195401854055444,NA,NA,50.745528097353834,75.08978864007955
22631,sediment trap,4.3342,79.0072,80,100,1.93336,28.424500136459482,18.39182534020538,12.556396052522732,100.94861602783203,5.011113756719772,26.392461961156428,33.85492910214554,43.28730010986328,140.33755493164062,13.711515426635742,179.36358642578125,7.496932429988324,47.97456407737119,8.283425159140572,21.152637145678536,51.08216658909251,28.086811763874806,27.195401854055444,NA,NA,50.745528097353834,75.08978864007955
22632,sediment trap,4.3342,79.0072,80,100,11.79131,28.424500136459482,18.39182534020538,12.556396052522732,100.94861602783203,5.011113756719772,26.392461961156428,33.85492910214554,43.28730010986328,140.33755493164062,13.711515426635742,179.36358642578125,7.496932429988324,47.97456407737119,8.283425159140572,21.152637145678536,51.08216658909251,28.086811763874806,27.195401854055444,NA,NA,50.745528097353834,75.08978864007955
